sep=,
X,Y,Z
-48.9755,6.94473,40.1414
-48.7803,5.95813,40.909
-48.7431,4.68705,41.7018
-48.769,3.41023,42.5816
-48.9078,1.96646,43.5293
-49.2072,0.494665,44.7486
-49.6748,-0.930589,45.6576
-49.7514,-2.25128,46.277
-49.8428,-3.66011,46.9981
-49.7015,-5.08199,47.841
-49.4702,-6.33338,48.6191
-49.626,-7.93173,49.3143
-49.7756,-9.39924,50.2851
-49.9059,-10.6137,51.3123
-50.0676,-11.6365,51.9724
-50.3512,-12.5864,52.4564
-50.5535,-13.1699,52.8594
-50.8546,-13.7304,53.4558
-51.236,-14.3878,54.1212
-51.5523,-15.2066,54.554
-51.8301,-16.002,54.8773
-52.0373,-16.6188,55.37
-52.3344,-17.0345,55.9665
-52.604,-17.4889,56.5876
-53.1792,-17.9598,57.0599
-53.7476,-18.6297,57.6321
-54.371,-19.1993,57.9874
-55.214,-19.7255,58.4743
-56.2377,-20.1289,58.6246
-57.7201,-20.6857,58.8758
-59.2301,-21.2727,58.9886
-60.7871,-21.6876,58.9405
-62.1534,-21.9857,58.8398
-63.5901,-22.2276,58.8345
-64.8332,-22.4193,58.6771
-65.8863,-22.2587,58.6386
-66.8593,-21.9679,58.423
-67.6744,-21.8866,58.5126
-68.5096,-21.7059,58.6154
-70.269,-20.9299,58.4103
-71.8736,-20.2643,57.761
-73.8459,-19.2382,57.1098
-76.0402,-17.8782,56.5103
-79.0469,-16.3138,56.0003
-81.9374,-15.0851,55.2548
-84.9129,-13.6706,54.4658
-88.222,-12.2109,53.2702
-91.5085,-10.4717,52.4092
-94.3032,-8.95558,51.5498
-96.8538,-7.07162,50.6845
-99.2351,-5.36762,49.552
-101.963,-3.72783,48.5923
-104.638,-1.9382,47.4228
-107.083,0.260958,46.0993
-109.481,2.34073,44.8608
-112.339,4.85593,44.1585
-114.346,6.83183,43.9019
-116.391,8.55835,43.1579
-118.788,10.2289,42.2606
-120.704,11.7216,41.52
-121.892,12.7558,41.0919
-123.169,13.5704,40.4675
-124.5,14.5942,39.9771
-125.642,15.9167,39.5884
-126.464,17.1393,39.2232
-127.468,18.3536,38.6281
-128.707,19.1732,38.3939
-129.807,19.9574,38.2457
-130.659,20.973,37.9945
-131.362,21.9002,37.4065
-132.009,22.5853,36.7394
-132.844,23.4514,36.5372
-133.318,24.5343,36.5658
-133.776,26.525,36.6972
