sep=,
X,Y,Z
149.596,35.5957,-107.679
149.281,35.5709,-110.032
160.976,42.593,-123.177
121.467,17.4015,-42.2123
113.424,12.3215,-45.3821
110.021,9.91885,-47.2372
113.693,12.6892,-49.1722
116.898,13.9001,-50.0748
117.228,14.8537,-52.312
132.955,24.5783,-55.3516
129.929,22.3789,-57.7377
144.524,31.9572,-59.9748
130.311,22.8757,-64.0015
129.822,22.8596,-64.6428
130.604,23.1269,-66.6035
137.842,28.0322,-68.8727
139.056,28.4386,-72.9004
129.939,22.9903,-97.943
158.413,40.8981,-94.1509
160.535,42.2618,-114.786
148.184,33.8897,-43.7326
111.766,10.2155,-47.1578
123.81,18.2299,-49.8345
131.48,22.9002,-52.9627
108.73,7.15699,-58.5502
129.258,21.1585,-58.8128
135.318,25.5203,-59.3331
127.669,20.4183,-67.3277
132.777,24.069,-70.2744
133.775,24.5852,-90.1692
130.972,22.7157,-96.621
132.321,23.4449,-101.654
144.27,31.0744,-100.21
149.008,34.5367,-119.99
148.386,33.7459,-29.5766
120.694,15.0181,-41.275
114.919,10.2679,-44.8814
136.221,25.4506,-53.0108
114.574,9.90926,-53.2998
114.133,9.89136,-54.8366
112.883,9.21155,-56.0455
128.066,19.8587,-57.6271
121.226,15.3686,-60.8773
132.52,22.4661,-61.1302
129.527,20.7154,-62.5306
132.926,23.199,-62.4557
130.869,21.3581,-67.2976
127.794,19.2917,-69.2509
137.694,26.0081,-67.0553
137.993,26.6556,-71.247
142.022,29.2003,-71.8101
129.874,20.5657,-95.7482
133.177,22.8264,-101.616
149.582,34.2899,-109.391
147.195,32.2715,-42.773
117.212,10.6351,-47.0536
113.824,8.9012,-47.8235
123.903,15.4468,-50.0709
115.648,9.76232,-49.8787
130.731,20.1008,-52.1663
132.555,22.1934,-55.034
134.831,23.3762,-58.5663
123.604,14.9404,-60.8891
132.171,21.2535,-60.9511
129.784,20.0206,-63.4568
131.793,20.9802,-65.3831
131.083,20.5707,-66.0118
132.659,22.1532,-69.0491
137.258,25.336,-69.0184
140.99,27.728,-73.2153
140.15,27.0849,-81.7543
155.163,38.091,-116.28
120.074,11.6601,-45.3861
119.353,10.9008,-49.0958
127.37,16.6714,-57.0379
129.162,18.6488,-60.5372
132.033,20.3096,-61.1367
144.254,29.681,-60.0734
134.632,22.2252,-64.3183
125.454,15.8105,-69.5113
136.569,24.099,-66.5989
128.729,17.9458,-70.6308
132.736,21.1034,-86.3393
141.799,27.6124,-80.7788
